,Team,Year,NumberOfGames,Wins,Losses,NumberOfSeries,SeriesWins,SeriesLosses,SeriesTies
0,Anaheim Angels,1997,162,84,78,60,23,21,16
1,Anaheim Angels,1998,162,85,77,58,25,20,13
2,Anaheim Angels,1999,162,70,92,52,19,29,4
3,Anaheim Angels,2000,162,82,80,52,21,20,11
4,Anaheim Angels,2001,162,75,87,53,24,27,2
5,Anaheim Angels,2002,162,99,63,53,29,16,8
6,Anaheim Angels,2003,162,77,85,52,22,26,4
7,Anaheim Angels,2004,162,92,70,52,27,21,4
8,Arizona Diamondbacks,1998,162,65,97,55,14,34,7
9,Arizona Diamondbacks,1999,162,100,62,52,35,15,2
10,Arizona Diamondbacks,2000,162,85,77,52,26,22,4
11,Arizona Diamondbacks,2001,162,92,70,52,28,18,6
12,Arizona Diamondbacks,2002,162,98,64,52,30,17,5
13,Arizona Diamondbacks,2003,162,84,78,53,26,19,8
14,Arizona Diamondbacks,2004,162,51,111,52,13,36,3
15,Arizona Diamondbacks,2005,162,77,85,52,21,27,4
16,Arizona Diamondbacks,2006,162,76,86,53,21,28,4
17,Arizona Diamondbacks,2007,162,90,72,52,31,20,1
18,Arizona Diamondbacks,2008,162,82,80,52,25,21,6
19,Arizona Diamondbacks,2009,162,70,92,53,16,30,7
20,Arizona Diamondbacks,2010,162,65,97,52,19,28,5
21,Arizona Diamondbacks,2011,162,94,68,52,29,17,6
22,Arizona Diamondbacks,2012,162,81,81,52,20,25,7
23,Arizona Diamondbacks,2013,162,81,81,53,22,24,7
24,Arizona Diamondbacks,2014,162,64,98,53,17,30,6
25,Arizona Diamondbacks,2015,162,79,83,52,21,23,8
26,Arizona Diamondbacks,2016,162,69,93,52,17,27,8
27,Arizona Diamondbacks,2017,162,93,69,52,26,18,8
28,Arizona Diamondbacks,2018,162,82,80,52,22,20,10
29,Arizona Diamondbacks,2019,162,85,77,52,27,21,4
30,Arizona Diamondbacks,2020,60,25,35,20,7,12,1
31,Arizona Diamondbacks,2021,162,52,110,52,10,38,4
32,Atlanta Braves,1966,162,85,77,54,22,24,8
33,Atlanta Braves,1967,162,77,85,54,20,26,8
34,Atlanta Braves,1968,163,82,81,56,25,20,11
35,Atlanta Braves,1969,162,93,69,54,24,15,15
36,Atlanta Braves,1970,162,76,86,54,19,24,11
37,Atlanta Braves,1971,162,82,80,54,24,20,10
38,Atlanta Braves,1972,154,70,84,52,17,23,12
39,Atlanta Braves,1973,161,76,85,54,20,23,11
40,Atlanta Braves,1974,163,89,74,55,25,22,8
41,Atlanta Braves,1975,161,67,94,54,14,30,10
42,Atlanta Braves,1976,162,70,92,54,15,21,18
43,Atlanta Braves,1977,162,61,101,54,13,33,8
44,Atlanta Braves,1978,162,69,93,54,16,28,10
45,Atlanta Braves,1979,160,66,94,54,17,29,8
46,Atlanta Braves,1980,161,81,80,54,21,23,10
47,Atlanta Braves,1981,106,50,56,36,15,16,5
48,Atlanta Braves,1982,162,89,73,54,28,19,7
49,Atlanta Braves,1983,162,88,74,54,22,20,12
50,Atlanta Braves,1984,162,80,82,54,20,22,12
51,Atlanta Braves,1985,162,66,96,54,13,31,10
52,Atlanta Braves,1986,161,72,89,54,16,30,8
53,Atlanta Braves,1987,161,69,92,54,17,30,7
54,Atlanta Braves,1988,160,54,106,54,7,36,11
55,Atlanta Braves,1989,161,64,97,55,17,28,10
56,Atlanta Braves,1990,162,65,97,55,14,28,13
57,Atlanta Braves,1991,162,94,68,54,28,21,5
58,Atlanta Braves,1992,162,98,64,55,30,18,7
